day,Q-E,PH-E,DBO-E,DQO-E,SS-E,SED-E,COND-E,DBO-S,DQO-S,SS-S,RD-DBO-G
1990-01-01,35914.15,7.54,141.79,409.29,,5.33,2141.49,4.43,20.46,5.52,96.88
1990-01-02,33390.62,7.58,251.59,478.66,242.1,5.51,1834.16,23.07,58.46,20.69,90.83
1990-01-03,39212.75,7.97,208.32,396.94,253.92,3.53,1857.21,21.09,42.42,21.89,89.87
1990-01-04,38912.4,7.39,211.66,,251.42,5.01,2032.86,29.32,79.38,28.52,86.15
1990-01-05,28778.72,7.22,191.69,301.63,257.94,3.19,1782.96,21.49,36.08,32.68,88.79
1990-01-06,29854.38,7.37,197.3,239.37,218.61,3.57,2017.73,10.23,19.39,13.74,94.82
1990-01-07,34594.83,7.64,179.36,475.48,235.45,3.12,1882.42,17.23,33.59,28.5,90.39
1990-01-08,34772.52,7.03,245.7,360.67,214.35,2.72,1706.12,26.88,62.48,17.59,89.06
1990-01-09,37180.57,7.69,188.9,417.86,241.41,6.1,1708.63,17.12,60.35,18.26,90.94
1990-01-10,35121.59,7.34,247.5,358.69,247.18,5.53,,31.97,57.67,26.96,87.08
1990-01-11,39446.94,7.84,179.51,345.42,244.75,5.96,1868.72,20.0,49.56,31.82,88.86
1990-01-12,37681.75,6.78,190.21,412.48,257.67,4.56,2228.07,17.82,39.04,12.36,90.63
1990-01-13,34673.85,7.26,148.99,361.94,240.61,5.67,1797.27,13.26,51.53,21.94,91.1
1990-01-14,38305.96,6.99,205.42,445.45,221.36,1.86,1958.24,,55.6,19.82,89.71
1990-01-15,37834.56,7.25,250.13,,195.52,5.79,2378.54,27.08,58.85,15.87,89.17
1990-01-16,35361.54,7.57,206.89,,247.54,4.77,1688.52,17.25,52.64,23.05,91.66
1990-01-17,39492.87,7.45,205.69,481.86,246.96,5.44,1520.44,,77.4,25.27,89.86
1990-01-18,34635.24,7.42,167.73,563.94,249.63,5.07,2157.32,13.98,53.69,17.42,91.66
1990-01-19,38683.89,7.45,188.97,359.25,328.03,3.02,1734.64,18.93,41.53,10.84,89.98
1990-01-20,35022.97,7.56,135.4,418.46,197.87,2.25,1895.86,8.3,37.38,8.96,93.87
1990-01-21,35063.25,7.2,162.17,507.53,244.15,3.43,1782.82,13.37,60.07,9.85,91.75
1990-01-22,35079.27,7.71,,536.81,285.76,5.35,1953.63,20.71,71.47,18.16,90.23
1990-01-23,42293.27,7.7,260.34,,254.62,5.54,1709.89,28.13,55.18,23.09,89.2
1990-01-24,38605.26,7.62,315.45,452.39,359.11,2.45,1864.01,59.5,97.63,71.25,81.14
1990-01-25,36904.94,7.67,190.74,557.6,229.57,3.03,1989.96,15.81,68.17,11.86,91.71
1990-01-26,35665.77,7.59,251.72,478.53,248.94,3.42,1698.34,31.75,87.63,36.37,87.38
1990-01-27,37438.71,8.11,204.14,444.89,191.07,3.96,1759.98,19.45,69.52,10.18,90.47
1990-01-28,37378.41,7.47,193.25,421.86,214.87,2.46,1830.52,12.8,51.17,11.23,93.37
1990-01-29,39019.5,7.41,223.68,430.22,254.38,2.37,1614.24,21.52,56.69,35.42,90.38
1990-01-30,40572.16,7.27,220.7,497.24,293.75,3.27,1815.49,24.0,74.22,31.0,89.13
1990-01-31,46142.47,7.19,225.31,465.23,273.67,4.63,1923.76,25.34,68.92,24.46,88.76
1990-02-01,37613.77,7.13,201.26,468.13,308.6,2.73,1820.09,22.23,65.75,32.47,88.95
1990-02-02,35822.77,7.23,156.8,456.96,235.39,,1845.72,9.37,51.32,8.35,94.02
1990-02-03,34031.84,7.48,145.79,392.18,217.33,6.09,,6.7,22.21,11.51,95.41
1990-02-04,38755.25,7.6,225.58,482.68,357.57,2.55,1768.85,27.24,80.19,48.95,87.92
1990-02-05,41787.13,7.52,202.98,669.33,266.08,4.19,2038.21,21.39,103.1,25.75,89.46
1990-02-06,39550.26,7.27,201.75,360.84,228.39,6.04,2187.2,12.57,33.43,11.8,93.77
1990-02-07,37802.76,7.77,225.79,513.66,233.12,3.87,1807.12,21.09,87.38,21.06,90.66
1990-02-08,36958.41,7.72,247.37,425.88,,3.64,1997.04,21.08,60.05,10.87,91.48
1990-02-09,39903.07,7.45,215.99,499.77,286.74,6.25,1852.08,23.21,63.89,32.82,89.25
1990-02-10,39287.49,7.3,180.76,450.7,220.75,4.04,1973.1,13.74,67.95,13.19,92.4
1990-02-11,39113.94,7.66,249.48,506.46,246.44,6.16,2213.16,31.56,73.0,28.37,87.35
1990-02-12,36973.28,7.56,271.74,555.22,250.22,5.14,2001.73,28.6,63.87,31.63,89.47
